"GEMS TARIFF  FOR CONSULTATIVE SERVICES BY CONTRACTED MEDICAL PRACTITIONERS
WITH EFFECT FROM 2026-01-01",,010 - Anaesthesiologists,014 - General Medical Practice,015 - Family Physicians,016 - Obstetrics and Gynaecology,017 - Pulmonology,"018 - Medicine 
(Specialist Physician",019 - Gastroenterology,020 - Neurology,021 - Cardiology,024 - Neurosurgery,026 - Opthalmology,028 - Orthopaedics,030 - Otorhinolaryngology,031 - Rheumatology,032 - Paediatricians,036 - Plastic and Reconstructive Sur,042 - Surgery/Paediatric surgery,44 - Cardiothoracic Surgery,046 - Urology,114 - Peadiatric Surgeon,12200-Psychiatry 
0175,First hospital consultation/visit of long duration and/or high complexity. Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure)  ,R650.10,R532.80,R532.80,R711.60,"R1,027.40","R1,027.40","R1,027.40","R1,027.40","R1,027.40","R1,027.40",R672.00,R672.00,R672.00,"R1,027.40","R1,027.40",R672.00,R672.00,"R1,027.40",R672.00,R672.00,
0178,"Hospital follow-up visit to patient in ward or nursing facility with a duration of 31-60 minutes: ADD only to item 0109, as appropriate. Psychiatrists (""22"") refer to items 0166-0169 for hospital follow-up visits",R607.80,R475.50,R475.50,R607.80,R607.80,R607.80,R607.80,R607.80,R607.80,R607.90,R607.90,R607.90,R607.90,R607.80,R607.80,R607.90,R672.00,R607.90,R607.90,R672.00,
0179,"Prolonged face-to-face attendance to a patient in ward or nursing facility: ADD only to item 0178 as appropriate, for each 15-minute period only if service extends 10 minutes or more inot the next 15-minute period following on the first 60 minutes (please state duration of visit on account in minutes).",R607.80,R475.50,R475.50,R607.80,R607.80,R607.80,R607.80,R607.80,R607.80,R607.90,R607.90,R607.90,R607.90,R607.80,R607.80,R607.90,R672.00,R607.90,R607.90,R672.00,
0109,"Hospital follow-up visit to patient in ward or nursing facility - Refer to general rule G(a) for post-operative care) (may only be charged once per day) (not to be used with items 0111, 0145, 0146, 0147 or ICU items 1204-1214)",R607.80,R475.50,R475.50,R607.80,R607.80,R607.80,R607.80,R607.80,R607.80,R607.90,R607.90,R607.90,R607.90,R607.80,R607.80,R607.90,R672.00,R607.90,R607.90,R672.00,
0111,Paediatric hospital follow-up visits (excluding neonates) by paediatricians or paediatric cardiologists (may only be charged once per day) (not to be used with items 0109 or ICU items 1204-1214). For a healthy neonate please use item 0109 for a hospital follow-up visit,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R889.20,R0.00,R672.00,R870.90,R0.00,R672.00,
I.c.3.,Hospital discharge day management,,,,,,,,,,,,,,,,,,,,,
0176,Hospital discharge day management;30 minutes or less,R901.10,R739.00,R739.00,R986.70,"R1,424.50","R1,424.50","R1,424.50","R1,424.50","R1,424.50","R1,424.50",R931.50,R931.50,"R1,424.50","R1,395.10","R1,027.40",R931.50,"R1,424.50",R931.50,R931.50,"R1,424.50",
0177,Hospital discharge day management;more than 30 minutes (including a hospital summary),R901.10,R739.00,R739.00,R986.70,"R1,424.50","R1,424.50","R1,424.50","R1,424.50","R1,424.50","R1,424.50",R931.50,R931.50,"R1,424.50","R1,395.10","R1,027.40",R931.50,"R1,424.50",R931.50,R931.50,"R1,424.50",
I.c.4.,Add-on consultative services,,,,,,,,,,,,,,,,,,,,,
0129,"Prolonged attendance to a patient and /or family: ADD to either item 0193, item 0175, item 0164 or item 0169, as appropriate,for each 15-minute period only if service extends 10 minutes or more into the next  15-minute period following on the first 60 minutes (minimum of 70 minute consultation time)  ",R607.80,R475.50,R475.50,R607.80,R607.80,R607.80,R607.80,R607.80,R607.80,R0.00,R0.00,R595.40,R0.00,R607.80,R607.80,R0.00,R607.80,R0.00,R0.00,R607.80,
0145,"For consultation/visit away from the medical doctor's home or rooms (nonemergency):ADD only to the consultation/visit items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169, items 0151-0153 or items 0109 as appropriate. Note: Only one of items 0145, 0146,0126  or 0147 may be coded and not combinations thereof",R0.00,R190.20,R190.20,R243.50,R243.30,R243.30,R243.30,R243.30,R243.30,R243.20,R243.20,R243.20,R243.20,R243.30,R243.50,R243.20,R243.20,R243.20,R243.20,R243.20,
0146,"For an Emergency consultation/visit at the medical doctors' home or rooms: ADD only to the consultation/visit items 0190-0193, items 0161-0164 or items 0151-0153, as appropriate. Note: Only one of items 0145, 0146,0126  or 0147 may be coded and not combinations thereof",R324.40,R253.50,R253.50,R324.10,R324.40,R324.40,R324.40,R324.40,R324.40,R324.50,R324.50,R324.50,R324.50,R324.40,R324.10,R324.50,R324.50,R324.50,R324.50,R324.50,
0147,"For an emergency OR unscheduled consultation/visit Away from the medical doctor's home or rooms, all hours: ADD only to the consultation/visit items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169 or items 0151-0153, as appropriate. Note: Only one of items 0145, 0146 ,0126 or 0147 may be coded  and not combinations thereof",R567.60,R443.70,R443.70,R567.60,R567.60,R567.60,R567.60,R567.60,R567.60,R567.60,R567.60,R567.60,R567.60,R567.60,R567.60,R556.20,R556.20,R556.20,R556.20,R556.20,
0148,"For elective after-hours services on request of the patient or family (non emergency) (refer to general rule B(a)): ADD 50% of the fee for the appropriate consultation/visit item (only to be used with items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169 or items 0151-0153) and reflect this as a separate item 0148. Usage: This item is used when, for example, a patient or the family request the doctor for a non-emergency consultation/visit outside of the practitioners' normal hours period.",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,
0149,"After-hours bona fide emergency consultation/visit (21:00-06:00 daily): ADD 25% of the fee for the appropriate consultation/visit item (only to be used with items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169, items 0151-0153 or item 0113) and reflect this as a separate item 0149",R162.50,R133.30,R133.30,R178.00,R256.80,R256.80,R256.80,R256.80,R256.80,R256.80,R167.90,R167.90,R167.90,R256.80,R256.80,R167.90,R167.90,R256.80,R167.90,R167.90,
0126,"For an UNSCHEDULED consultation/visit at the doctor's home or rooms: ADD only to the consultation/visit items 0190-0193, items 0161-0164 or items 0151-0153, as appropriate. Note: Only one of items 0145, 0146, 0126, or 0147 may be coded and not combinations thereof",R693.30,R568.60,R568.60,R758.90,"R1,095.70","R1,095.70","R1,095.70","R1,095.70","R1,095.70","R1,095.70",R716.60,R716.60,R716.60,"R1,095.70","R1,095.70",R716.60,R716.60,"R1,095.70",R716.60,R716.60,
I.c.5.,Observation care,,,,,,,,,,,,,,,,,,,,,
7050,"Initial observation care, per day: Evaluation and management of a patient. Requires the following 3 key components: (a) detailed or comprehensive history (b) detailed or comprehensive examination © straightforward or low complexity medical decision making. Counselling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or needs. Usually, the problem(s) requiring admission to observation status are of high severity.",R818.80,R820.80,R820.80,R877.80,"R1,294.30","R1,294.30","R1,294.30","R1,294.30","R1,294.30","R1,294.30",R846.30,R846.30,R846.30,"R1,294.30","R1,004.40",R846.30,R846.30,"R1,294.30",R846.30,R846.30,
7051,"Initial observation care, per day. Evaluation and management of a patient. Requiring the following 3 components: (a) comprehensive history (b) comprehensive examination © medical decision making of moderate complexity. Counselling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or needs. Usually, the problem(s) requiring admission to observation status are of high severity.",R818.80,R820.80,R820.80,R877.80,"R1,294.30","R1,294.30","R1,294.30","R1,294.30","R1,294.30","R1,294.30",R846.30,R846.30,R846.30,"R1,294.30","R1,004.40",R846.30,R846.30,"R1,294.30",R846.30,R846.30,
7052,"Initial observation care, per day. Evaluation and management of a patient. Requiring the following 3 components: (a) comprehensive history (b) comprehensive examination © medical decision making of high complexity. Counselling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or needs. Usually, the problem(s) requiring admission to observation status are of high severity.",R818.80,R820.80,R820.80,R877.80,"R1,294.30","R1,294.30","R1,294.30","R1,294.30","R1,294.30","R1,294.30",R846.30,R846.30,R846.30,"R1,294.30","R1,004.40",R846.30,R846.30,"R1,294.30",R846.30,R846.30,
I.c.6.,Emergency department,,,,,,,,,,,,,,,,,,,,,
7060,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components:  (a) expanded problem focused history (b) expanded problem focused examination © straightforward medical decision making. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self-limited or minor",R264.50,R214.90,R214.90,R224.40,R417.70,R417.70,R417.70,R417.70,R417.70,R417.70,R273.40,R273.40,R273.40,R417.70,R324.20,R273.40,R273.40,R417.70,R273.40,R273.40,
7061,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: (a) expanded problem focused history (b) expanded problem focused examination © medical decision making of low complexity. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low or moderate severity.",R264.50,R214.90,R214.90,R224.40,R417.70,R417.70,R417.70,R417.70,R417.70,R417.70,R273.40,R273.40,R273.40,R417.70,R324.20,R273.40,R273.40,R417.70,R273.40,R273.40,
7062,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: (a) expanded problem focused history (b) expanded problem focused examination © medical decision making of moderate complexity. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",R264.50,R325.00,R325.00,R224.40,R417.70,R417.70,R417.70,R417.70,R417.70,R417.70,R273.40,R273.40,R273.40,R417.70,R324.20,R273.40,R273.40,R417.70,R273.40,R273.40,
7063,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: (a) a detailed history (b) a detailed examination © medical decision making of moderate complexity. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the medical practitioner but do not pose an immediate significant threat to life or physiologic function.",R264.50,R613.90,R613.90,R224.40,R417.70,R417.70,R417.70,R417.70,R417.70,R417.70,R273.40,R273.40,R273.40,R417.70,R324.20,R273.40,R273.40,R417.70,R273.40,R273.40,
7064,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: (a) comprehensive history (b) comprehensive examination © medical decision making of high complexity. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the medical practitioner and pose an immediate significant threat to life or physiologic function.",R264.50,R899.10,R899.10,R224.40,R417.70,R417.70,R417.70,R417.70,R417.70,R417.70,R273.40,R273.40,R273.40,R417.70,R324.20,R273.40,R273.40,R417.70,R273.40,R273.40,
I.e,Pre-anaesthetic assessment,,,,,,,,,,,,,,,,,,,,,
0151,Pre-anaesthetic assessment: Pre-anaesthetic assessment of patient (all hours). Problem focused history and clinical examination and straightforward decision making for minor problem. Typically occupies the doctor face-to-face with the patient for between 10 and 20 minutes,"R1,406.90",R568.80,R568.80,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,
0152,Pre-anaesthetic assessment: Pre-anaesthetic assessment of patient (all hours). Detailed history and clinical examination and straightforward decision making and counselling. Typically occupies the doctor face-to-face with the patient for between 20 and 35 minutes,"R1,406.90",R568.80,R568.80,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,
0153,"Pre-anaesthetic assessment: Pre-anaesthetic assessment of patient or other consultative service. Consultation with detailed history, complete examination and moderate complex decision making and counselling. Typically occupies the doctor face-to-face for between 30 and 45 minutes","R1,406.90",R568.80,R568.80,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,
I.f,Prenatal visits and new born attendance,,,,,,,,,,,,,,,,,,,,,
0107,"New born attendance: Exclusive attendance to baby at Caesarean section, normal delivery or visit in the ward (once per patient) (items 0109, 0111, 0113, 0145, 0146 and/or 0147 may not be added to item 0107) ",R0.00,"R1,046.40","R1,046.40","R1,337.40",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R1,337.40",R0.00,R0.00,R0.00,R0.00,R0.00,
,Item 0107 can be used once only for given confinement, , , , , , , , , , , , , , , , , , , , ,
0113,"New born attendance: Emergency attendance to newborn at all hours (once per patient) (items 0107, 0109, 0111, 0145, 0146 and/or 0147 may not be added to item 0113)",R0.00,"R1,427.10","R1,427.10",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R1,824.10",R0.00,R0.00,R0.00,R0.00,R0.00,
I.g,Consultative services: Miscellaneous,,,,,,,,,,,,,,,,,,,,,
0130,"Telephone consultation for GPs and Specialists (all hours) via virtual platforms ( SMS, what apps  , video and voice calls etc). Applicable during the Covid 19 Pandemic ",R0.00,R380.50,R380.50,R474.10,R711.40,R711.40,R711.40,R711.40,R711.40,R711.60,R474.20,R474.20,R474.20,R711.40,R711.60,R474.20,R474.20,R672.00,R474.20,R474.20,
0131,Subsequent injections or flu vaccinations as part of a planned series of injections for the same condition administered by medical doctors (refer to modifier 0017) (not to be coded together with any consultation item),R325.10,R266.60,R266.60,R355.70,R513.60,R513.60,R513.60,R513.60,R513.60,R513.60,R335.90,R335.90,R335.90,R513.60,R513.60,R335.90,R335.90,R513.60,R335.90,R335.90,
0132,"Consulting service e.g. writing of repeat scripts or requesting routine preauthorization without the physical presence of the patient (needs not be face-to-face contact), via virtual platforms ( SMS, what apps  , video and voice calls etc). Applicable during the Covid 19 Pandemic",R0.00,R158.60,R158.60,R202.60,R202.90,R202.90,R202.90,R202.90,R202.90,R202.70,R202.70,R202.70,R202.70,R202.90,R202.60,R202.70,R202.70,R202.70,R202.70,R202.70,
0133,Writing of special motivations for procedures and treatment without the physical presence of a patient (includes report on the clinical condition of a patient) requested by or on behalf of a third party funder or its agent,R364.70,R285.10,R285.10,R364.70,R364.70,R364.70,R364.70,R364.70,R364.70,R364.80,R364.80,R364.80,R364.80,R364.70,R364.70,R364.80,R364.80,R364.80,R364.80,R364.80,
0137,"Patient and/or family education and/or guidance for a specific condition for 20 minutes, supported by the appropriate ICD-10 code(s). ICD-10 codes to be added for this service. This item may be added to a consultation if done in addition to the consultation (specific items from consultative services structure will be added in the wording of the description)",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,
0138,"Patient and/or family education and/or guidance for a specific condition for 40 minutes, supported by the appropriate ICD-10 code(s). ICD-10 codes to be added for this service. This item may be added to a consultation if done in addition to the consultation (specific items from consultative services structure will be added in the wording of the description)",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,
0139,"Patient and/or family education and/or guidance for a specific condition for 41 minutes and longer, supported by the appropriate ICD-10 code(s). ICD-10 codes to be added for this service. This item may be added to a consultation if done in addition to the consultation (specific items from consultative services structure will be added in the wording of the description)",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,
0199,Completion of chronic medication forms by medical practitioners with or without the physical presence of the patient requested by or on behalf of a third party funder or its agent,R0.00,R679.70,R679.70,R810.50,R764.50,R764.50,R764.50,R764.50,R764.50,R764.50,R764.50,R764.50,R764.50,R764.50,R810.50,R764.50,R764.50,R764.50,R764.50,R764.50,
