"GEMS TARIFF  FOR CONSULTATIVE SERVICES BY NON-CONTRACTED MEDICAL PRACTITIONERS
WITH EFFECT FROM 2026-01-01",,010 - Anaesthesiologists,012 - Dermatology,014 - General Medical Practice,015 - Family Physicians,016 - Obstetrics and Gynaecology,017 - Pulmonology,018 - Medicine (Specialist Physician,019 - Gastroenterology,020 - Neurology,021 - Cardiology,023 - Medical Oncology,024 - Neurosurgery,025 - Nuclear Medicine,026 - Opthalmology,027 - Clinical Haematology,028 - Orthopaedics,030 - Otorhinolaryngology,031 - Rheumatology,032 - Paediatricians,033 - Paediatric Cardiology,034 - Physical Medicine,036 - Plastic and Reconstructive Sur,038 - Radiology,040 - Radiation Oncology/Nuclear Med,042 - Surgery/Paediatric surgery,044 - Cardiothoracic Surgery,046 - Urology,052 - Pathology,053 - Anatomical Pathology invalid/BHF,114 - Paediatric Surgeon
0175,First hospital consultation/visit of long duration and/or high complexity. Includes counselling with the patient and/or family and co-ordination with other health care providers or liaison with third parties on behalf of the patient (not appropriate for pre-anaesthetic assessment followed by the appropriate anaesthetics - refer to new anaesthetic structure)  ,R478.00,R500.90,R477.50,R477.50,R512.20,R755.00,R755.00,R755.00,R755.00,R755.00,R769.20,R755.00,R769.20,R493.90,R769.20,R493.90,R493.90,R755.00,R739.60,R756.50,R769.20,R493.90,R503.20,R503.20,R493.90,R755.00,R493.90,R498.40,R500.70,R493.90
0178,"Hospital follow-up visit to patient in ward or nursing facility with a duration of 31-60 minutes: ADD only to item 0109, as appropriate. Psychiatrists (""22"") refer to items 0166-0169 for hospital follow-up visits",R446.90,R453.30,R425.80,R425.80,R437.70,R446.90,R446.90,R446.90,R446.90,R446.90,R455.40,R446.90,R455.40,R446.90,R455.40,R446.90,R446.90,R446.90,R446.90,R447.70,R455.40,R446.90,R455.40,R455.40,R446.90,R446.90,R446.90,R451.00,R453.10,R446.90
0179,"Prolonged face-to-face attendance to a patient in ward or nursing facility: ADD only to item 0178 as appropriate, for each 15-minute period only if service extends 10 minutes or more inot the next 15-minute period following on the first 60 minutes (please state duration of visit on account in minutes).",R437.70,R443.70,R425.80,R425.80,R437.70,R437.70,R437.70,R437.70,R437.70,R437.70,R445.80,R437.70,R445.80,R437.70,R445.80,R437.70,R437.70,R437.70,R437.70,R438.40,R445.80,R437.70,R445.80,R445.80,R437.70,R437.70,R437.70,R441.60,R443.60,R437.70
0109,"Hospital follow-up visit to patient in ward or nursing facility - Refer to general rule G(a) for post-operative care) (may only be charged once per day) (not to be used with items 0111, 0145, 0146, 0147 or ICU items 1204-1214)",R446.90,R453.30,R425.80,R425.80,R437.70,R446.90,R446.90,R446.90,R446.90,R446.90,R455.40,R446.90,R455.40,R446.90,R455.40,R446.90,R446.90,R446.90,R437.70,R447.70,R455.40,R446.90,R455.40,R455.40,R446.90,R446.90,R446.90,R451.00,R453.10,R446.90
0111,Paediatric hospital follow-up visits (excluding neonates) by paediatricians or paediatric cardiologists (may only be charged once per day) (not to be used with items 0109 or ICU items 1204-1214). For a healthy neonate please use item 0109 for a hospital follow-up visit,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R640.10,R641.40,R0.00,R0.00,R0.00,R0.00,R446.90,R640.10,R0.00,R0.00,R0.00,R667.10
I.c.3.,Hospital discharge day management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0176,Hospital discharge day management;30 minutes or less,R662.60,R694.30,R662.00,R662.00,R710.20,"R1,047.20","R1,047.20","R1,047.20","R1,047.20","R1,047.20","R1,067.00","R1,047.20","R1,067.00",R684.70,R697.70,R684.70,"R1,047.20","R1,025.60","R1,047.20","R1,049.20",R697.70,R684.70,R697.70,R697.70,"R1,047.20",R684.70,R684.70,R691.00,R0.00,"R1,047.20"
0177,Hospital discharge day management;more than 30 minutes (including a hospital summary),R662.60,R694.30,R662.00,R662.00,R710.20,"R1,047.20","R1,047.20","R1,047.20","R1,047.20","R1,047.20","R1,067.00","R1,047.20","R1,067.00",R684.70,R697.70,R684.70,"R1,047.20","R1,025.60","R1,047.20","R1,049.20",R697.70,R684.70,R0.00,R697.70,"R1,047.20",R684.70,R684.70,R0.00,R0.00,"R1,047.20"
I.c.4.,Add-on consultative services, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0129,"Prolonged attendance to a patient and /or family: ADD to either item 0193, item 0175, item 0164 or item 0169, as appropriate,for each 15-minute period only if service extends 10 minutes or more into the next  15-minute period following on the first 60 minutes (minimum of 70 minute consultation time)  ",R437.70,R443.70,R425.80,R425.80,R437.70,R437.70,R437.70,R437.70,R437.70,R437.70,R445.80,R0.00,R445.80,R0.00,R445.80,R437.70,R0.00,R437.70,R437.70,R442.60,R445.80,R0.00,R0.00,R445.80,R437.70,R0.00,R0.00,R445.80,R445.80,R442.60
0145,"For consultation/visit away from the medical doctor's home or rooms (nonemergency):ADD only to the consultation/visit items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169, items 0151-0153 or items 0109 as appropriate. Note: Only one of items 0145, 0146,0126  or 0147 may be coded and not combinations thereof",R0.00,R181.20,R170.30,R170.30,R175.20,R178.80,R178.80,R178.80,R178.80,R178.80,R182.30,R178.80,R182.30,R178.80,R182.30,R178.80,R178.80,R178.80,R175.20,R179.20,R182.30,R178.80,R182.30,R182.30,R178.80,R178.80,R178.80,R0.00,R0.00,R178.80
0146,"For an Emergency consultation/visit at the medical doctors' home or rooms: ADD only to the consultation/visit items 0190-0193, items 0161-0164 or items 0151-0153, as appropriate. Note: Only one of items 0145, 0146,0126  or 0147 may be coded and not combinations thereof",R238.50,R0.00,R227.10,R227.10,R233.40,R238.50,R238.50,R238.50,R238.50,R238.50,R243.20,R238.50,R243.20,R238.50,R243.20,R238.50,R238.50,R238.50,R233.40,R239.00,R243.20,R238.50,R243.20,R243.20,R238.50,R238.50,R238.50,R0.00,R0.00,R238.50
0147,"For an emergency OR unscheduled consultation/visit Away from the medical doctor's home or rooms, all hours: ADD only to the consultation/visit items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169 or items 0151-0153, as appropriate. Note: Only one of items 0145, 0146 ,0126 or 0147 may be coded  and not combinations thereof",R417.30,R423.00,R397.30,R397.30,R408.40,R417.30,R417.30,R417.30,R417.30,R417.30,R425.00,R417.30,R425.00,R417.30,R416.70,R417.30,R417.30,R417.30,R408.40,R409.80,R416.70,R409.00,R416.70,R416.70,R409.00,R409.00,R409.00,R0.00,R0.00,R409.00
0148,"For elective after-hours services on request of the patient or family (non emergency) (refer to general rule B(a)): ADD 50% of the fee for the appropriate consultation/visit item (only to be used with items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169 or items 0151-0153) and reflect this as a separate item 0148. Usage: This item is used when, for example, a patient or the family request the doctor for a non-emergency consultation/visit outside of the practitioners' normal hours period.",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
0149,"After-hours bona fide emergency consultation/visit (21:00-06:00 daily): ADD 25% of the fee for the appropriate consultation/visit item (only to be used with items 0190-0193, items 0173-0175, items 0161-0164, items 0166-0169, items 0151-0153 or item 0113) and reflect this as a separate item 0149",R119.40,R125.10,R119.40,R119.40,R127.90,R188.80,R188.80,R188.80,R188.80,R188.80,R192.40,R188.80,R192.40,R123.40,R192.40,R123.40,R123.40,R188.80,R185.00,R189.10,R192.40,R123.40,R125.90,R125.90,R123.40,R188.80,R123.40,R124.50,R125.10,R123.40
0126,"For an UNSCHEDULED consultation/visit at the doctor's home or rooms: ADD only to the consultation/visit items 0190-0193, items 0161-0164 or items 0151-0153, as appropriate. Note: Only one of items 0145, 0146, 0126, or 0147 may be coded and not combinations thereof",R509.70,R534.20,R509.40,R509.40,R546.30,R805.30,R805.30,R805.30,R805.30,R805.30,R820.50,R805.30,R820.50,R526.70,R820.50,R526.70,R526.70,R805.30,R789.00,R807.00,R820.50,R526.70,R536.70,R536.70,R526.70,R805.30,R526.70,R531.60,R534.10,R526.70
I.c.5.,Observation care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7050,"Initial observation care, per day: Evaluation and management of a patient. Requires the following 3 key components: (a) detailed or comprehensive history (b) detailed or comprehensive examination © straightforward or low complexity medical decision making. Counselling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or needs. Usually, the problem(s) requiring admission to observation status are of high severity.",R602.30,R631.00,R601.70,R601.70,R645.20,R951.50,R951.50,R951.50,R951.50,R951.50,R969.20,R951.50,R969.20,R622.20,R969.20,R622.20,R622.20,R951.50,R932.00,R953.30,R969.20,R622.20,R634.00,R634.00,R622.20,R951.50,R622.20,R0.00,R0.00,R622.20
7051,"Initial observation care, per day. Evaluation and management of a patient. Requiring the following 3 components: (a) comprehensive history (b) comprehensive examination © medical decision making of moderate complexity. Counselling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or needs. Usually, the problem(s) requiring admission to observation status are of high severity.",R602.30,R631.00,R601.70,R601.70,R645.20,R951.50,R951.50,R951.50,R951.50,R951.50,R969.20,R951.50,R969.20,R622.20,R969.20,R622.20,R622.20,R951.50,R932.00,R953.30,R969.20,R622.20,R634.00,R634.00,R622.20,R951.50,R622.20,R0.00,R0.00,R622.20
7052,"Initial observation care, per day. Evaluation and management of a patient. Requiring the following 3 components: (a) comprehensive history (b) comprehensive examination © medical decision making of high complexity. Counselling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or needs. Usually, the problem(s) requiring admission to observation status are of high severity.",R602.30,R631.00,R601.70,R601.70,R645.20,R951.50,R951.50,R951.50,R951.50,R951.50,R969.20,R951.50,R969.20,R622.20,R969.20,R622.20,R622.20,R951.50,R932.00,R953.30,R969.20,R622.20,R634.00,R634.00,R622.20,R951.50,R622.20,R0.00,R0.00,R622.20
I.c.6.,Emergency department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7060,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components:  (a) expanded problem focused history (b) expanded problem focused examination © straightforward medical decision making. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self-limited or minor",R194.30,R203.70,R194.10,R194.10,R208.40,R307.10,R307.10,R307.10,R307.10,R307.10,R312.70,R307.10,R0.00,R200.90,R312.70,R200.90,R200.90,R307.10,R300.90,R307.60,R312.70,R200.90,R204.80,R204.80,R200.90,R307.10,R200.90,R0.00,R0.00,R200.90
7061,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: (a) expanded problem focused history (b) expanded problem focused examination © medical decision making of low complexity. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low or moderate severity.",R194.30,R203.70,R194.10,R194.10,R208.40,R307.10,R307.10,R307.10,R307.10,R307.10,R312.70,R307.10,R0.00,R200.90,R312.70,R200.90,R200.90,R307.10,R300.90,R307.60,R312.70,R200.90,R204.80,R204.80,R200.90,R307.10,R200.90,R0.00,R0.00,R200.90
7062,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: (a) expanded problem focused history (b) expanded problem focused examination © medical decision making of moderate complexity. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",R194.30,R203.70,R194.10,R194.10,R208.40,R307.10,R307.10,R307.10,R307.10,R307.10,R312.70,R307.10,R0.00,R200.90,R312.70,R200.90,R200.90,R307.10,R300.90,R307.60,R312.70,R200.90,R204.80,R204.80,R200.90,R307.10,R200.90,R0.00,R0.00,R200.90
7063,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: (a) a detailed history (b) a detailed examination © medical decision making of moderate complexity. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the medical practitioner but do not pose an immediate significant threat to life or physiologic function.",R194.30,R203.70,R194.10,R194.10,R208.40,R307.10,R307.10,R307.10,R307.10,R307.10,R312.70,R307.10,R0.00,R200.90,R312.70,R200.90,R200.90,R307.10,R300.90,R307.60,R312.70,R200.90,R204.80,R204.80,R200.90,R307.10,R200.90,R0.00,R0.00,R200.90
7064,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: (a) comprehensive history (b) comprehensive examination © medical decision making of high complexity. Counselling and / or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the medical practitioner and pose an immediate significant threat to life or physiologic function.",R194.30,R203.70,R194.10,R194.10,R208.40,R307.10,R307.10,R307.10,R307.10,R307.10,R312.70,R307.10,R0.00,R200.90,R312.70,R200.90,R200.90,R307.10,R300.90,R307.60,R312.70,R200.90,R204.80,R204.80,R200.90,R307.10,R200.90,R0.00,R0.00,R200.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0151,Pre-anaesthetic assessment: Pre-anaesthetic assessment of patient (all hours). Problem focused history and clinical examination and straightforward decision making for minor problem. Typically occupies the doctor face-to-face with the patient for between 10 and 20 minutes,R517.10,R0.00,R509.10,R509.10,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
0152,Pre-anaesthetic assessment: Pre-anaesthetic assessment of patient (all hours). Detailed history and clinical examination and straightforward decision making and counselling. Typically occupies the doctor face-to-face with the patient for between 20 and 35 minutes,R517.10,R0.00,R509.10,R509.10,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
0153,"Pre-anaesthetic assessment: Pre-anaesthetic assessment of patient or other consultative service. Consultation with detailed history, complete examination and moderate complex decision making and counselling. Typically occupies the doctor face-to-face for between 30 and 45 minutes",R517.10,R0.00,R509.10,R509.10,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0107,"New born attendance: Exclusive attendance to baby at Caesarean section, normal delivery or visit in the ward (once per patient) (items 0109, 0111, 0113, 0145, 0146 and/or 0147 may not be added to item 0107)",R0.00,R0.00,R936.00,R936.00,R962.80,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R962.80,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
,Item 0107 can be used once only for given confinement,, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
0113,"New born attendance: Emergency attendance to newborn at all hours (once per patient) (items 0107, 0109, 0111, 0145, 0146 and/or 0147 may not be added to item 0113)",R0.00,R0.00,"R1,277.30","R1,277.30",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R1,313.00",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
I.g,Consultative services: Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,"Telephone consultation for GPs and Specialists (all hours) via virtual platforms ( SMS, what apps  , video and voice calls etc). Applicable during the Covid 19 Pandemic ",R0.00,R353.50,R340.30,R340.30,R341.50,R523.00,R523.00,R523.00,R523.00,R523.00,R532.90,R523.00,R532.90,R348.60,R532.90,R348.60,R348.60,R523.00,R512.20,R524.00,R532.90,R348.60,R355.10,R355.10,R348.60,R493.90,R348.60,R351.80,R353.40,R348.60
0131,Subsequent injections or flu vaccinations as part of a planned series of injections for the same condition administered by medical doctors (refer to modifier 0017) (not to be coded together with any consultation item),R238.80,R250.40,R238.70,R238.70,R256.20,R377.70,R377.70,R377.70,R377.70,R377.70,R384.80,R377.70,R384.80,R246.90,R384.80,R246.90,R246.90,R377.70,R370.00,R378.40,R384.80,R246.90,R251.50,R251.50,R246.90,R377.70,R246.90,R249.10,R250.40,R246.90
0132,"Consulting service e.g. writing of repeat scripts or requesting routine preauthorization without the physical presence of the patient (needs not be face-to-face contact), via virtual platforms ( SMS, what apps  , video and voice calls etc). Applicable during the Covid 19 Pandemic",R0.00,R150.90,R158.90,R158.90,R145.90,R148.90,R148.90,R148.90,R148.90,R148.90,R151.80,R148.90,R0.00,R148.90,R151.80,R148.90,R148.90,R148.90,R145.90,R149.20,R0.00,R148.90,R151.80,R151.80,R148.90,R148.90,R148.90,R0.00,R0.00,R148.90
0133,Writing of special motivations for procedures and treatment without the physical presence of a patient (includes report on the clinical condition of a patient) requested by or on behalf of a third party funder or its agent,R268.20,R272.10,R255.30,R255.30,R262.60,R268.20,R268.20,R268.20,R268.20,R268.20,R273.30,R268.20,R0.00,R268.20,R273.30,R268.20,R268.20,R268.20,R262.60,R268.70,R0.00,R268.20,R273.30,R273.30,R268.20,R268.20,R268.20,R0.00,R0.00,R268.20
0137,"Patient and/or family education and/or guidance for a specific condition for 20 minutes, supported by the appropriate ICD-10 code(s). ICD-10 codes to be added for this service. This item may be added to a consultation if done in addition to the consultation (specific items from consultative services structure will be added in the wording of the description)",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
0138,"Patient and/or family education and/or guidance for a specific condition for 40 minutes, supported by the appropriate ICD-10 code(s). ICD-10 codes to be added for this service. This item may be added to a consultation if done in addition to the consultation (specific items from consultative services structure will be added in the wording of the description)",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
0139,"Patient and/or family education and/or guidance for a specific condition for 41 minutes and longer, supported by the appropriate ICD-10 code(s). ICD-10 codes to be added for this service. This item may be added to a consultation if done in addition to the consultation (specific items from consultative services structure will be added in the wording of the description)",R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00
0199,Completion of chronic medication forms by medical practitioners with or without the physical presence of the patient requested by or on behalf of a third party funder or its agent,R0.00,R569.90,R608.60,R608.60,R583.50,R562.10,R562.10,R562.10,R562.10,R562.10,R572.60,R562.10,R0.00,R562.10,R572.60,R562.10,R562.10,R562.10,R583.50,R563.20,R0.00,R562.10,R572.60,R572.60,R562.10,R562.10,R562.10,R0.00,R0.00,R562.10
